id,name,position,league,team_id,goals,assists,appearances,player_rating
1,Christine Adhiambo,Defender,premier,3,0,0,0,0
2,Anna Nabwire Arusi,Striker,premier,3,0,0,0,0
3,Christine Atieno,Midfielder,premier,3,0,0,0,0
4,Pauline Atieno,Defender,premier,3,0,0,0,0
5,Ruth Chebungei,Striker,premier,3,0,0,0,0
6,Diana Cherono,Striker,premier,3,0,0,0,0
7,Mildred Kanyisi,Midfielder,premier,3,0,0,0,0
8,Yvonne Kavere,Midfielder,premier,3,0,0,0,0
9,Lucy Agisa Kisaga,Goalkeeper,premier,3,0,0,0,0
10,Fanis Kwamboka,Defender,premier,3,0,0,0,0
11,Mary Majeso,Defender,premier,3,0,0,0,0
12,Lilian Mmboga,Defender,premier,3,0,0,0,0
13,Robi Mohere,Goalkeeper,premier,3,0,0,0,0
14,Inviolata Mukoshi,Defender,premier,3,0,0,0,0
15,Faith Muli,Striker,premier,3,0,0,0,0
16,Janet Mumo,Defender,premier,3,0,0,0,0
17,Jauharah Nabaggala,Midfielder,premier,3,0,0,0,0
18,Monica Nakamu,Midfielder,premier,3,0,0,0,0
19,Swaum Nanjala,Striker,premier,3,0,0,0,0
20,Amina Nyakoa,Defender,premier,3,0,0,0,0
21,Naomi Ongachi,Midfielder,premier,3,0,0,0,0
22,Maximila Robi,Midfielder,premier,3,0,0,0,0
23,Vivian Shiyonzo,Goalkeeper,premier,3,0,0,0,0
24,Noel Amutata,Striker,premier,3,0,0,0,0
45,Velma Auma,Goalkeeper,premier,2,0,0,0,0
46,Judith Osimno,Goalkeeper,premier,2,0,0,0,0
47,Maureen Shimulu,Goalkeeper,premier,2,0,0,0,0
48,Lavender Abong'o,Goalkeeper,premier,2,0,0,0,0
49,Diana Shakava,Defender,premier,2,0,0,0,0
50,Christine Nakale,Defender,premier,2,0,0,0,0
51,Emmaculate Wangira,Defender,premier,2,0,0,0,0
52,Margaret Odiro,Defender,premier,2,0,0,0,0
53,Sophy Adhiambo,Defender,premier,2,0,0,0,0
54,Dorcal Glender,Defender,premier,2,0,0,0,0
55,Lorine Ilavonga,Defender,premier,2,0,0,0,0
56,Everline Juma,Midfielder,premier,2,0,0,0,0
57,Charity Lukhavi,Midfielder,premier,2,0,0,0,0
58,Lilian Ngina,Midfielder,premier,2,0,0,0,0
59,Linda Okoside,Midfielder,premier,2,0,0,0,0
60,Lucy Nato,Midfielder,premier,2,0,0,0,0
61,Sylvia Mukai,Midfielder,premier,2,0,0,0,0
62,Beverline Akida,Midfielder,premier,2,0,0,0,0
63,Mercy Airo,Forward,premier,2,0,0,0,0
64,Elizabeth Mideva,Striker,premier,2,0,0,0,0
65,Sharline Nambengele,Forward,premier,2,1,0,1,0
66,Silya Rasoha,Forward,premier,2,1,0,1,0
67,Quinter Adhiambo,Forward,premier,2,0,0,0,0
68,Margaret Muchera,Forward,premier,2,0,0,0,0
69,Valentine Khwaka,Goalkeeper,premier,9,0,0,0,0
70,Ivy Makokha,Goalkeeper,premier,9,0,0,0,0
71,Olive Otwaro,Goalkeeper,premier,9,0,0,0,0
72,Mellany Achieng,Goalkeeper,premier,9,0,0,0,0
73,Wincate Kaari,Defender,premier,9,0,0,0,0
74,Margaret Kwamboka,Defender,premier,9,0,0,0,0
75,Adah Okunyo,Defender,premier,9,0,0,0,0
76,Bevarline Awuor,Defender,premier,9,0,0,0,0
77,Veronicah Nyambura,Defender,premier,9,0,0,0,0
78,Benedete Oluoch,Defender,premier,9,0,0,0,0
79,Immaculate Wangira,Defender,premier,9,0,0,0,0
80,Brenda Onyango,Defender,premier,9,0,0,0,0
81,Nestley Nyongesa,Defender,premier,9,0,0,0,0
82,Mollyne Akinyi,Defender,premier,9,0,0,0,0
83,Rachael Adhiambo,Defender,premier,9,0,0,0,0
84,Marline Atieno,Defender,premier,9,0,0,0,0
85,Vivian Adhiambo,Midfielder,premier,9,0,0,0,0
86,Sylvia Otieno,Midfielder,premier,9,1,0,1,0
87,Mellisha Akinyi,Midfielder,premier,9,0,0,0,0
88,Sharon Khasandi,Midfielder,premier,9,0,0,0,0
89,Clotilda Auma,Midfielder,premier,9,0,0,0,0
90,Seline Achieng,Midfielder,premier,9,0,0,0,0
91,Wilkister Simiyu,Midfielder,premier,9,0,0,0,0
92,Dora Achieng,Midfielder,premier,9,0,0,0,0
93,Jerrine Adhiambo,Midfielder,premier,9,0,2,1,0
94,Judith Ochieng,Forward,premier,9,0,0,0,0
95,Gladwell Musungu,Forward,premier,9,0,0,0,0
96,Faith Ochieng,Forward,premier,9,0,0,0,0
97,Tabitha Wambui,Forward,premier,9,0,0,0,0
98,Shalin Akinyi,Forward,premier,9,0,0,0,0
99,Iddah Adhiambo,Forward,premier,9,0,0,0,0
100,Mitshel Waithera,Forward,premier,9,2,0,1,0
101,Nelly Kache,Forward,premier,9,0,0,0,0
102,Margaret Nakhumicha,Goalkeeper,premier,11,0,0,0,0
103,Coret Naliaka,Goalkeeper,premier,11,0,0,0,0
104,Ezrah Nekesa,Goalkeeper,premier,11,0,0,0,0
105,Coleta Akinyi,Defender,premier,11,0,0,0,0
106,Salma Asman,Defender,premier,11,0,0,0,0
107,Purity Awino,Defender,premier,11,0,0,0,0
108,Esther Ingendi,Defender,premier,11,0,0,0,0
109,Dorcas Nanjala Khaemba,Defender,premier,11,0,0,0,0
110,Mary Khamete,Defender,premier,11,0,0,0,0
111,Lucy Makokha,Defender,premier,11,0,0,0,0
112,Phoebe Mwangale,Defender,premier,11,0,0,0,0
113,Faith Wesonga,Defender,premier,11,0,0,0,0
114,Lydia Adika,Midfielder,premier,11,0,0,0,0
115,Saida Akinyi,Midfielder,premier,11,0,0,0,0
116,Silvia Alwanga,Midfielder,premier,11,0,0,0,0
117,Consolata Atieno,Midfielder,premier,11,0,0,0,0
118,Sarah Naliaka Barasa,Midfielder,premier,11,0,0,0,0
119,Faith Chemwor,Midfielder,premier,11,0,0,0,0
120,Sylvia Kapera,Midfielder,premier,11,0,0,0,0
121,Sharon Mukhwana,Midfielder,premier,11,0,0,0,0
122,Pricencilia Odongo,Midfielder,premier,11,0,0,0,0
123,Ruth Wekesa,Midfielder,premier,11,0,0,0,0
124,Phoebe Barasa,Striker,premier,11,0,0,0,0
125,Maureen Eseri,Striker,premier,11,0,0,0,0
126,Monica Etot,Striker,premier,11,0,0,0,0
127,Monicah Naswa,Striker,premier,11,0,0,0,0
128,Laura Shitawa,Striker,premier,11,0,0,0,0
129,Mildred Simiyu,Striker,premier,11,0,0,0,0
130,Celestine Wanjala,Striker,premier,11,0,0,0,0
