position,team,played,won,drawn,lost,gf,ga,gd,points
1,Mathare Utd Women,21,19,1,1,40,3,37,58
2,Gor Mahia Queens,21,12,6,3,32,13,19,42
3,Bandari Queens,21,11,8,2,41,9,32,41
4,Hildana Queens,21,8,6,7,24,19,5,30
5,Sunderland Samba,21,9,3,9,25,28,-3,30
6,AFC Leopardess,21,9,5,7,23,22,1,29
7,MTG United,21,7,5,9,23,32,-9,26
8,Gitothua FC,21,7,3,11,17,27,-10,24
9,TUK Ravens,21,4,4,13,14,27,-13,16
10,Diani Queens,21,5,4,12,20,34,-14,16
11,Barcelona Ladies SC,11,3,1,7,9,13,-4,10
12,Mombasa Olympic,21,4,0,17,12,53,-41,6
