position,team,played,won,drawn,lost,gf,ga,gd,points
1,Shabana Starlets,18,13,5,0,50,10,40,44
2,Trans Nzoia White Ladies,18,13,3,2,47,11,36,42
3,Solasa Stima Queens,18,12,3,3,40,14,26,39
4,The Iron Ladies,18,10,3,5,29,21,8,33
5,105 FC Naivasha,18,9,5,4,24,18,6,32
6,Lowland Starlets,18,8,1,9,22,35,-13,25
7,Eldoret Falcons,18,3,5,10,16,29,-13,14
8,Royal Starlets,18,3,2,13,17,42,-25,11
9,Bunyore Starlets,18,4,1,13,16,38,-22,7
10,Kakamega Starlets,0,0,0,0,0,0,0,0
11,Vickers Queens,0,0,0,0,0,0,0,0
12,Gene Queens,18,0,2,16,4,47,-43,-4
